Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Afghanistan,AFG,23.7490645063876,25.3757325289357,27.1029295008949,28.93696493811,27.8325779792055,26.5817299358641,24.6862301129122,21.8409819358079,7.34537368323521,6.98535794895538
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Albania,ALB,69.4344525963839,73.3286516853933,76.6610694313928,74.5193174307517,76.1195137517997,77.8305014810121,77.4244906791974,78.7746037540689,78.0343581803436,78.0831029844348
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Algeria,DZA,22.5044102439321,24.3894717800289,25.479655344731,25.2633331315455,25.0453720508167,24.8565041387227,24.6660915132924,25.4346927747227,24.5996387718242,25.09815044261
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Angola,AGO,94.0015715299605,94.1104591219785,94.2238359456903,94.3392834210864,94.4606413994169,94.5854878633542,94.5763633538764,95.5985307104553,93.3860670239225,93.5988473808789
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Argentina,ARG,65.8525748719159,66.4531378938976,67.0677751162463,67.6959114139693,69.7365994808584,70.4387990762125,70.5181276440886,70.9480338069505,70.9430241566307,71.4898403993532
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Armenia,ARM,80.2960435970453,80.2454182347767,80.0767439855135,80.1586731247395,80.1877974778195,82.5750519452604,84.9004400359093,84.5856241091427,81.9066260693055,81.9926793557833
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
